anzahl;vorname;geschlecht;position
12;Hugo;m;1
12;Ilyas;m;1
12;Lennard;m;1
12;Lucas;m;1
12;Mio;m;1
12;Muhammed;m;1
12;Nico;m;1
12;Oliver;m;1
12;Rafael;m;1
12;Ömer;m;1
11;Lotta;w;2
11;Rose;w;2
11;Sofia;w;2
11;Frederik;m;2
11;Malik;m;2
11;Theo;m;2
11;Alessia;w;1
11;Aurora;w;1
11;Emmi;w;1
11;Malou;w;1
11;Melody;w;1
11;Meryem;w;1
11;Milla;w;1
11;Valentina;w;1
11;Viktoria;w;1
11;Eren;m;1
11;Ferdinand;m;1
11;Fiete;m;1
11;Jacob;m;1
11;Janosch;m;1
11;Johan;m;1
11;Jonte;m;1
11;Keno;m;1
11;Konstantin;m;1
11;Lennart;m;1
11;Lion;m;1
11;Mikail;m;1
11;Nael;m;1
11;Phil;m;1
10;Elise;w;2
10;Ella;w;2
10;Helena;w;2
10;Bo;m;2
10;Ludwig;m;2
10;Luis;m;2
10;Max;m;2
10;Noel;m;2
10;Ole;m;2
10;Severin;m;2
10;Aaliyah;w;1
10;Anastasia;w;1
10;Asya;w;1
10;Cleo;w;1
10;Elisabeth;w;1
10;Finja;w;1
10;Flora;w;1
10;Josephine;w;1
10;Jule;w;1
10;Miray;w;1
10;Nina;w;1
10;Theresa;w;1
10;Toni;w;1
10;Antonio;m;1
10;Arthur;m;1
10;Franz;m;1
10;Karlo;m;1
10;Lenn;m;1
10;Lenny;m;1
10;Lias;m;1
10;Matthias;m;1
10;Mattis;m;1
10;Mert;m;1
10;Nick;m;1
10;Oscar;m;1
10;Sebastian;m;1
10;Youssef;m;1
9;Alexander;m;3
9;Elisabeth;w;3
9;Leni;w;2
9;Lina;w;2
9;Liya;w;2
9;Mia;w;2
9;Christian;m;2
9;Efe;m;2
9;Jan;m;2
9;Konstantin;m;2
9;Leander;m;2
9;Leon;m;2
9;Mateo;m;2
9;Alya;w;1
9;Diana;w;1
9;Greta;w;1
9;Hailey;w;1
9;Hana;w;1
9;Isabel;w;1
9;Lene;w;1
9;Lotte;w;1
9;Lucie;w;1
9;Marta;w;1
9;Milena;w;1
9;Mona;w;1
9;Nika;w;1
9;Samira;w;1
9;Sarah;w;1
9;Aron;m;1
9;Bilal;m;1
9;Caspar;m;1
9;Charlie;m;1
9;Damian;m;1
9;Joel;m;1
9;Kaan;m;1
9;Leano;m;1
9;Lennox;m;1
9;Mohammed;m;1
9;Neo;m;1
9;Noel;m;1
9;Rayan;m;1
9;Sam;m;1
9;Thilo;m;1
9;Yasin;m;1
8;Marie;w;3
8;Carlotta;w;2
8;Ida;w;2
8;Isabelle;w;2
8;Lea;w;2
8;Lisa;w;2
8;Magdalena;w;2
8;Marlen;w;2
8;Matilda;w;2
8;Jacob;m;2
8;Jonas;m;2
8;Lukas;m;2
8;Maxim;m;2
8;Moritz;m;2
8;Pepe;m;2
8;Richard;m;2
8;Robert;m;2
8;Sebastian;m;2
8;Amina;w;1
8;Elli;w;1
8;Esma;w;1
8;Hira;w;1
8;Isabell;w;1
8;Josefine;w;1
8;Liah;w;1
8;Lorena;w;1
8;Rosalie;w;1
8;Selina;w;1
8;Valerie;w;1
8;Abdullah;m;1
8;Adriano;m;1
8;Diego;m;1
8;Elian;m;1
8;Elyas;m;1
8;Emin;m;1
8;Fynn;m;1
8;John;m;1
8;Joscha;m;1
8;Kiyan;m;1
8;Luan;m;1
8;Martin;m;1
8;Michael;m;1
8;Nicolas;m;1
8;Titus;m;1
7;Charlotte;w;3
7;Alexandra;w;2
7;Amalia;w;2
7;Dorothea;w;2
7;Elif;w;2
7;Isabella;w;2
7;Marleen;w;2
7;Mathilde;w;2
7;Nisa;w;2
7;Noemi;w;2
7;Paulina;w;2
7;Ruth;w;2
7;Viktoria;w;2
7;Aaron;m;2
7;Alessandro;m;2
7;Benedikt;m;2
7;Christoph;m;2
7;Constantin;m;2
7;Daniel;m;2
7;Georg;m;2
7;Hamza;m;2
7;Heinrich;m;2
7;Hugo;m;2
7;James;m;2
7;Johan;m;2
7;Julian;m;2
7;Lasse;m;2
7;Manuel;m;2
7;Michel;m;2
7;Milo;m;2
7;Simon;m;2
7;Ada;w;1
7;Adelina;w;1
7;Amara;w;1
7;Ariana;w;1
7;Aylin;w;1
7;Eleni;w;1
7;Ellie;w;1
7;Eslem;w;1
7;Ina;w;1
7;Kaia;w;1
7;Liliana;w;1
7;Linn;w;1
7;Mariella;w;1
7;Marla;w;1
7;Maryam;w;1
7;Mayla;w;1
7;Melissa;w;1
7;Philippa;w;1
7;Tessa;w;1
7;Valeria;w;1
7;Yasmin;w;1
7;Alex;m;1
7;Amin;m;1
7;Eric;m;1
7;Eymen;m;1
7;Fabio;m;1
7;Friedrich;m;1
7;Henrik;m;1
7;Jano;m;1
7;Jaro;m;1
7;Joris;m;1
7;Lars;m;1
7;Manuel;m;1
7;Mark;m;1
7;Mohamed;m;1
7;Musa;m;1
7;Robert;m;1
7;Tobias;m;1
7;Umut;m;1
7;Yunus;m;1
6;Anni;w;2
6;Clara;w;2
6;Elena;w;2
6;Elsa;w;2
6;Grace;w;2
6;Isabel;w;2
6;Lara;w;2
6;Leonie;w;2
6;Lilly;w;2
6;Lucia;w;2
6;Martha;w;2
6;Melek;w;2
6;Melina;w;2
6;Meryem;w;2
6;Mina;w;2
6;Paula;w;2
6;Philippa;w;2
6;Sarah;w;2
6;Theresa;w;2
6;Zeynep;w;2
6;Alp;m;2
6;André;m;2
6;Antonio;m;2
6;Ben;m;2
6;Carlo;m;2
6;Emilian;m;2
6;Emin;m;2
6;Finn;m;2
6;Francesco;m;2
6;Joel;m;2
6;Jonah;m;2
6;Joseph;m;2
6;Justus;m;2
6;Kilian;m;2
6;Luke;m;2
6;Matthias;m;2
6;Mika;m;2
6;Milan;m;2
6;Robin;m;2
6;Selim;m;2
6;Thomas;m;2
6;Titus;m;2
6;Alena;w;1
6;Aleyna;w;1
6;Aliyah;w;1
6;Azra;w;1
6;Celine;w;1
6;Eliana;w;1
6;Ellen;w;1
6;Emilie;w;1
6;Enissa;w;1
6;Eylül;w;1
6;Felia;w;1
6;Felicitas;w;1
6;Franka;w;1
6;Gloria;w;1
6;Helen;w;1
6;Jette;w;1
6;Jonna;w;1
6;Julie;w;1
6;Kira;w;1
6;Käthe;w;1
6;Leah;w;1
6;Livia;w;1
6;Anas;m;1
6;Lola;w;1
6;Azad;m;1
6;Lou;w;1
6;Benedikt;m;1
6;Lucia;w;1
6;Benno;m;1
6;Lynn;w;1
6;Deniz;m;1
6;Madita;w;1
6;Eddie;m;1
6;Medina;w;1
6;Ediz;m;1
6;Miriam;w;1
6;Elijah;m;1
6;Nia;w;1
6;Elio;m;1
6;Nila;w;1
6;Filip;m;1
6;Rosa;w;1
6;Florentin;m;1
6;Sena;w;1
6;Giuseppe;m;1
6;Viola;w;1
6;Hanno;m;1
6;Zoé;w;1
6;Hasan;m;1
6;Janne;m;1
6;Jannik;m;1
6;Jayden;m;1
6;Joschua;m;1
6;Juri;m;1
6;Kalle;m;1
6;Leopold;m;1
6;Lionel;m;1
6;Lorenz;m;1
6;Mads;m;1
6;Mahir;m;1
6;Mailo;m;1
6;Maurice;m;1
6;Michel;m;1
6;Mick;m;1
6;Muhammad;m;1
6;Nino;m;1
6;Noé;m;1
6;Omar;m;1
6;Osman;m;1
6;Philip;m;1
6;Silas;m;1
6;Taim;m;1
6;Thiago;m;1
6;Tristan;m;1
6;Vito;m;1
6;Yiğit;m;1
5;Christian;m;3
5;Johannes;m;3
5;Katharina;w;3
5;Alma;w;2
5;Amelie;w;2
5;Anastasia;w;2
5;Aurelia;w;2
5;Ava;w;2
5;Christin;w;2
5;Christina;w;2
5;Ela;w;2
5;Elea;w;2
5;Flora;w;2
5;Florentine;w;2
5;Frieda;w;2
5;Gabriele;w;2
5;Isabell;w;2
5;Jane;w;2
5;Jolie;w;2
5;Julia;w;2
5;Julie;w;2
5;Luna;w;2
5;Lynn;w;2
5;Maja;w;2
5;Malia;w;2
5;Mathea;w;2
5;Mila;w;2
5;Olivia;w;2
5;Therese;w;2
5;Zoé;w;2
5;Adam;m;2
5;Albert;m;2
5;Angelo;m;2
5;Aras;m;2
5;Arthur;m;2
5;Asaf;m;2
5;Aslan;m;2
5;Caspar;m;2
5;Clemens;m;2
5;Dean;m;2
5;Eliah;m;2
5;Enno;m;2
5;Eric;m;2
5;Florian;m;2
5;Hannes;m;2
5;Hans;m;2
5;Henrik;m;2
5;Ilyas;m;2
5;Joachim;m;2
5;Konrad;m;2
5;Leopold;m;2
5;Muhammed;m;2
5;Nicolas;m;2
5;Philip;m;2
5;Piet;m;2
5;Rafael;m;2
5;Ragnar;m;2
5;Rainer;m;2
5;Rolf;m;2
5;Singh;m;2
5;William;m;2
5;Alba;w;1
5;Alia;w;1
5;Annika;w;1
5;Anouk;w;1
5;Arya;w;1
5;Chloé;w;1
5;Defne;w;1
5;Dilara;w;1
5;Dilay;w;1
5;Eda;w;1
5;Elise;w;1
5;Enisa;w;1
5;Enna;w;1
5;Franziska;w;1
5;Gioia;w;1
5;Helene;w;1
5;Helin;w;1
5;Jolina;w;1
5;Kiara;w;1
5;Lana;w;1
5;Lani;w;1
5;Leana;w;1
5;Leonora;w;1
5;Louise;w;1
5;Lucy;w;1
5;Melisa;w;1
5;Meyra;w;1
5;Milana;w;1
5;Alan;m;1
5;Nala;w;1
5;Alfred;m;1
5;Rebecca;w;1
5;Alparslan;m;1
5;Selin;w;1
5;Alperen;m;1
5;Smilla;w;1
5;Amar;m;1
5;Zara;w;1
5;Andreas;m;1
5;Zoey;w;1
5;Angelo;m;1
5;Öykü;w;1
5;Ari;m;1
5;Aslan;m;1
5;Aurelio;m;1
5;Bennet;m;1
5;Can;m;1
5;Danilo;m;1
5;Dean;m;1
5;Efe;m;1
5;Elliot;m;1
5;Enea;m;1
5;Francesco;m;1
5;Ivan;m;1
5;Jari;m;1
5;Jaron;m;1
5;Kemal;m;1
5;Kuzey;m;1
5;Leandro;m;1
5;Levent;m;1
5;Lino;m;1
5;Liyan;m;1
5;Marco;m;1
5;Marius;m;1
5;Miguel;m;1
5;Milian;m;1
5;Miraç;m;1
5;Musab;m;1
5;Noa;m;1
5;Pablo;m;1
5;Roman;m;1
5;Sami;m;1
5;Samu;m;1
5;Selim;m;1
5;Seyit;m;1
5;William;m;1
4;Maria;w;4
4;Heinrich;m;3
4;Herbert;m;3
4;Josef;m;3
4;Peter;m;3
4;Wilhelm;m;3
4;Adele;w;2
4;Alicja;w;2
4;Asena;w;2
4;Cataleya;w;2
4;Diana;w;2
4;Emily;w;2
4;Fabienne;w;2
4;Fatma;w;2
4;Finja;w;2
4;Frida;w;2
4;Josefin;w;2
4;Klara;w;2
4;Lena;w;2
4;Lia;w;2
4;Lilli;w;2
4;Linh;w;2
4;Lotte;w;2
4;Marianna;w;2
4;Marina;w;2
4;Maya;w;2
4;Melissa;w;2
4;Naomi;w;2
4;Naz;w;2
4;Nina;w;2
4;Nour;w;2
4;Rebecca;w;2
4;Rosalie;w;2
4;Sara;w;2
4;Arian;m;2
4;August;m;2
4;Augustin;m;2
4;Bela;m;2
4;Bilal;m;2
4;Bruno;m;2
4;Elian;m;2
4;Emmanuel;m;2
4;Ensar;m;2
4;Erich;m;2
4;Erik;m;2
4;Fabian;m;2
4;Franz;m;2
4;Heinz;m;2
4;Helmut;m;2
4;Ibrahim;m;2
4;Isa;m;2
4;Jannis;m;2
4;Kasimir;m;2
4;Klaus;m;2
4;Kurt;m;2
4;Leandro;m;2
4;Levin;m;2
4;Linus;m;2
4;Lio;m;2
4;Marius;m;2
4;Mattis;m;2
4;Maurice;m;2
4;Mustafa;m;2
4;Noa;m;2
4;Oscar;m;2
4;Simeon;m;2
4;Stefan;m;2
4;Tim;m;2
4;Tom;m;2
4;Ulrich;m;2
4;Uwe;m;2
4;Viktor;m;2
4;Werner;m;2
4;Willi;m;2
4;Ajla;w;1
4;Amilia;w;1
4;Ana;w;1
4;Angelina;w;1
4;Anisa;w;1
4;Arina;w;1
4;Asel;w;1
4;Aya;w;1
4;Benita;w;1
4;Clea;w;1
4;Cosima;w;1
4;Dana;w;1
4;Daria;w;1
4;Ecrin;w;1
4;Elea;w;1
4;Eleonora;w;1
4;Elsa;w;1
4;Emelie;w;1
4;Esther;w;1
4;Evelina;w;1
4;Evin;w;1
4;Fabienne;w;1
4;Fenja;w;1
4;Florentine;w;1
4;Havin;w;1
4;Hedda;w;1
4;Hedi;w;1
4;Ilayda;w;1
4;Iva;w;1
4;Jara;w;1
4;Jolie;w;1
4;Juli;w;1
4;Kalea;w;1
4;Karlotta;w;1
4;Adem;m;1
4;Kaya;w;1
4;Ahmet;m;1
4;Kayla;w;1
4;Avi;m;1
4;Larissa;w;1
4;Aymen;m;1
4;Lili;w;1
4;Charles;m;1
4;Liyah;w;1
4;Darian;m;1
4;Lucía;w;1
4;Dario;m;1
4;Magdalena;w;1
4;Dennis;m;1
4;Maila;w;1
4;Edgar;m;1
4;Malin;w;1
4;Edis;m;1
4;Maliya;w;1
4;Elija;m;1
4;Marina;w;1
4;Enes;m;1
4;Marleen;w;1
4;Federico;m;1
4;Mathilde;w;1
4;Giuliano;m;1
4;Mavi;w;1
4;Hector;m;1
4;Medine;w;1
4;Henning;m;1
4;Millie;w;1
4;Ibrahim;m;1
4;Natalie;w;1
4;Ilay;m;1
4;Neele;w;1
4;Isa;m;1
4;Nicole;w;1
4;Isaiah;m;1
4;Nola;w;1
4;Jad;m;1
4;Pina;w;1
4;Jannes;m;1
4;Romi;w;1
4;Keanu;m;1
4;Ronya;w;1
4;Keyan;m;1
4;Safiya;w;1
4;Leif;m;1
4;Sare;w;1
4;Lorenzo;m;1
4;Tabea;w;1
4;Louie;m;1
4;Tamina;w;1
4;Mamadou;m;1
4;Tara;w;1
4;Mario;m;1
4;Thalia;w;1
4;Marten;m;1
4;Tia;w;1
4;Matheo;m;1
4;Violetta;w;1
4;Mike;m;1
4;Vivienne;w;1
4;Mirza;m;1
4;Xenia;w;1
4;Naim;m;1
4;Yara;w;1
4;Nikolas;m;1
4;Yaren;w;1
4;Otis;m;1
4;Poyraz;m;1
4;Rio;m;1
4;Ruben;m;1
4;Salih;m;1
4;Salvatore;m;1
4;Shayan;m;1
4;Talha;m;1
4;Tiago;m;1
4;Tino;m;1
4;Vince;m;1
4;Yahya;m;1
4;Yavuz;m;1
3;Alexandra;w;3
3;Johanna;w;3
3;Margarete;w;3
3;Albert;m;3
3;Marlene;w;3
3;Andreas;m;3
3;Rosa;w;3
3;Dieter;m;3
3;Gabriel;m;3
3;Hermann;m;3
3;Michael;m;3
3;Paul;m;3
3;Aaliyah;w;2
3;Agnes;w;2
3;Alice;w;2
3;Alicia;w;2
3;Amira;w;2
3;Anne;w;2
3;Anouk;w;2
3;Aurelie;w;2
3;Aurora;w;2
3;Cecilia;w;2
3;Claire;w;2
3;Dua;w;2
3;Eleni;w;2
3;Elina;w;2
3;Elizabeth;w;2
3;Ellen;w;2
3;Emilie;w;2
3;Emma;w;2
3;Emmi;w;2
3;Esther;w;2
3;Eva;w;2
3;Fatima;w;2
3;Fernanda;w;2
3;Fiona;w;2
3;Florence;w;2
3;Friederike;w;2
3;Gabriela;w;2
3;Greta;w;2
3;Hanna;w;2
3;Hedwig;w;2
3;Helen;w;2
3;Henriette;w;2
3;Hermine;w;2
3;Hilde;w;2
3;Hope;w;2
3;Jasmin;w;2
3;Jolina;w;2
3;Jonna;w;2
3;Joy;w;2
3;Liara;w;2
3;Lieselotte;w;2
3;Linda;w;2
3;Luana;w;2
3;Lucie;w;2
3;Lucy;w;2
3;Adem;m;2
3;Luzia;w;2
3;Adnan;m;2
3;Madeleine;w;2
3;Alparslan;m;2
3;Madita;w;2
3;Amin;m;2
3;Mai;w;2
3;Andreas;m;2
3;Mailin;w;2
3;Azad;m;2
3;Malin;w;2
3;Aziz;m;2
3;Malu;w;2
3;Bernard;m;2
3;Mara;w;2
3;Brian;m;2
3;Marianne;w;2
3;Calogero;m;2
3;Mariella;w;2
3;Dominik;m;2
3;Melody;w;2
3;Eduard;m;2
3;Mira;w;2
3;Felipe;m;2
3;Nura;w;2
3;Fiete;m;2
3;Philine;w;2
3;Frank;m;2
3;Regina;w;2
3;Frederic;m;2
3;Ria;w;2
3;Frederick;m;2
3;Rita;w;2
3;Gabriele;m;2
3;Sonja;w;2
3;Gerd;m;2
3;Teresa;w;2
3;Gereon;m;2
3;Theresia;w;2
3;Giovanni;m;2
3;Ursula;w;2
3;Gustav;m;2
3;Yael;w;2
3;Hendrik;m;2
3;Hennes;m;2
3;Horst;m;2
3;Jaron;m;2
3;Jona;m;2
3;Jonte;m;2
3;Joris;m;2
3;José;m;2
3;Kamil;m;2
3;Kaspar;m;2
3;Kayra;m;2
3;Kian;m;2
3;Krasimirov;m;2
3;Kumar;m;2
3;Leevi;m;2
3;Luan;m;2
3;Magnus;m;2
3;Manfred;m;2
3;Marc;m;2
3;Markus;m;2
3;Mats;m;2
3;Matti;m;2
3;Mohammed;m;2
3;Nathan;m;2
3;Neo;m;2
3;Nikolaus;m;2
3;Raphael;m;2
3;René;m;2
3;Rudolf;m;2
3;Sascha;m;2
3;Sven;m;2
3;Toni;m;2
3;Vito;m;2
3;Yannick;m;2
3;Zeyd;m;2
3;Ömer;m;2
3;Ahsen;w;1
3;Alara;w;1
3;Alea;w;1
3;Alice;w;1
3;Alicia;w;1
3;Amaya;w;1
3;Angel;w;1
3;Anika;w;1
3;Anila;w;1
3;Anita;w;1
3;Annabell;w;1
3;Annabelle;w;1
3;Asli;w;1
3;Ahmed;m;1
3;Asra;w;1
3;Aiden;m;1
3;Awa;w;1
3;Alessandro;m;1
3;Beatrice;w;1
3;Antoine;m;1
3;Beyza;w;1
3;Armin;m;1
3;Buğlem;w;1
3;Arne;m;1
3;Camilla;w;1
3;Arwin;m;1
3;Cansu;w;1
3;Azer;m;1
3;Carolin;w;1
3;Barış;m;1
3;Celia;w;1
3;Berkay;m;1
3;Clarissa;w;1
3;Bjarne;m;1
3;Daliya;w;1
3;Béla;m;1
3;Delia;w;1
3;Carlos;m;1
3;Derin;w;1
3;Cem;m;1
3;Dila;w;1
3;Charly;m;1
3;Dina;w;1
3;Christian;m;1
3;Duru;w;1
3;Colin;m;1
3;Ecem;w;1
3;Damon;m;1
3;Elissa;w;1
3;Denis;m;1
3;Eliza;w;1
3;Dian;m;1
3;Elly;w;1
3;Dion;m;1
3;Esila;w;1
3;Dominik;m;1
3;Evelyn;w;1
3;Dorian;m;1
3;Felicia;w;1
3;Edward;m;1
3;Feline;w;1
3;Eldin;m;1
3;Fenna;w;1
3;Eliah;m;1
3;Filippa;w;1
3;Emmanuel;m;1
3;Francesca;w;1
3;Emre;m;1
3;Freya;w;1
3;Eray;m;1
3;Fritzi;w;1
3;Ertuğrul;m;1
3;Giada;w;1
3;Fernando;m;1
3;Giuliana;w;1
3;Frido;m;1
3;Hafsa;w;1
3;Gereon;m;1
3;Hila;w;1
3;Gianluca;m;1
3;Ilaria;w;1
3;Gianni;m;1
3;İlayda;w;1
3;Gioele;m;1
3;Iman;w;1
3;Gustav;m;1
3;Ines;w;1
3;Göktuğ;m;1
3;Inga;w;1
3;Hendrik;m;1
3;Ivy;w;1
3;Jack;m;1
3;Jamila;w;1
3;Jaden;m;1
3;Jasmina;w;1
3;Jamal;m;1
3;Kaja;w;1
3;Jarno;m;1
3;Kara;w;1
3;Jason;m;1
3;Karina;w;1
3;Jelle;m;1
3;Kate;w;1
3;Jim;m;1
3;Kenza;w;1
3;Jon;m;1
3;Layan;w;1
3;Jonne;m;1
3;Layla;w;1
3;Josef;m;1
3;Leila;w;1
3;Julien;m;1
3;Leona;w;1
3;Junis;m;1
3;Liara;w;1
3;Kamil;m;1
3;Lilia;w;1
3;Karam;m;1
3;Lilian;w;1
3;Karim;m;1
3;Lilou;w;1
3;Kayra;m;1
3;Lily;w;1
3;Kenan;m;1
3;Liora;w;1
3;Kevin;m;1
3;Liva;w;1
3;Kiano;m;1
3;Malak;w;1
3;Lean;m;1
3;Malena;w;1
3;Leander;m;1
3;Mali;w;1
3;Leonhard;m;1
3;Malu;w;1
3;Liano;m;1
3;Mariam;w;1
3;Lounes;m;1
3;Marlena;w;1
3;Luciano;m;1
3;Masal;w;1
3;Léon;m;1
3;Mathea;w;1
3;Magnus;m;1
3;Melanie;w;1
3;Marc;m;1
3;Meliha;w;1
3;Marcel;m;1
3;Melis;w;1
3;Massimo;m;1
3;Naima;w;1
3;Mattes;m;1
3;Naomi;w;1
3;Matthis;m;1
3;Nejla;w;1
3;Maël;m;1
3;Nela;w;1
3;Melih;m;1
3;Nelia;w;1
3;Mete;m;1
3;Neyla;w;1
3;Mik;m;1
3;Nilay;w;1
3;Miko;m;1
3;Noemi;w;1
3;Milas;m;1
3;Nova;w;1
3;Minh;m;1
3;Penelope;w;1
3;Mo;m;1
3;Philine;w;1
3;Mohammad;m;1
3;Polly;w;1
3;Mustafa;m;1
3;Rahel;w;1
3;Nathan;m;1
3;Rieke;w;1
3;Nevio;m;1
3;Rosalia;w;1
3;Niclas;m;1
3;Rose;w;1
3;Nikola;m;1
3;Rubi;w;1
3;Nikolai;m;1
3;Ruby;w;1
3;Nikolaos;m;1
3;Sayra;w;1
3;Nouri;m;1
3;Sina;w;1
3;Peter;m;1
3;Sofie;w;1
3;Phileas;m;1
